created,text,retwc,hashtag,followers,friends
10/28/2019 13:01,b'\xe2\x80\x9cI think it is a clear indication that there is no further slide and we can start reversing the tide.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/WZErJtqJoU',1,None,263457,88
10/28/2019 12:31,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,9,7
10/28/2019 12:08,b'RT @coolfunnytshirt: Election results in 2 pics. \n\n#ElectionResults2019 #HaryanaAssemblyPolls \n#MaharashtraAssemblyPolls https://t.co/V9iHi\xe2\x80\xa6',147,ElectionResults2019,15,55
10/28/2019 12:02,"b'RT @TehzeebTvIndia: Former Hockey captain and winning candidate from Pehowa, Sandeep Singh, arrives for #BJP legislative party meeting at U\xe2\x80\xa6'",5,BJP,15,16
10/28/2019 12:01,"b'RT @TehzeebTvIndia: #BJP legislative party meeting begins at UT Guest house in #Chandigarh. Union Minister #RaviShankarPrasad, CM #ManoharL\xe2\x80\xa6'",5,BJP,15,16
10/28/2019 12:01,"b'RT @TehzeebTvIndia: Union Minister #RaviShankarPrasad: We will go to meet the Governor, and request him to invite us to form the government\xe2\x80\xa6'",4,RaviShankarPrasad,15,16
10/28/2019 12:01,"b'RT @TehzeebTvIndia: Union Minister #RaviShankarPrasad: We will go to meet the Governor, and request him to invite us to form the government\xe2\x80\xa6'",2,RaviShankarPrasad,15,16
10/28/2019 11:47,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,11836,711
10/28/2019 11:39,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,1,3
10/28/2019 11:25,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,49,167
10/28/2019 11:19,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,84,812
10/28/2019 11:14,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,1281,809
10/28/2019 11:08,"b""Looks to me like Congress could win a few more seats only because RaGa and his ridiculous 'Chowkidar Chor Hai' was\xe2\x80\xa6 https://t.co/3U0B3zUid6""",0,None,108,127
10/28/2019 10:25,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,184,189
10/28/2019 10:15,b'RT @gopalkagarwal: On @NewsX at 9 pm on #HaryanaAssemblyPolls and #MaharashtraAssemblyPolls',9,HaryanaAssemblyPolls,183,1712
10/28/2019 10:14,"b""RT @MirrorNow: #ResultDayLive | BJP's @gopalkagarwal speaks to @saharzaman about the \n#ElectionResults2019. Listen in!\n\n#MaharashtraAssembl\xe2\x80\xa6""",6,ResultDayLive,183,1712
10/28/2019 10:14,"b'RT @dhaval241086: Hey @RahulGandhi, Where are you bruh??\n\nNo reaction, sly, feedback, jibe on recently concluded #MaharashtraAssemblyPolls\xe2\x80\xa6'",11,MaharashtraAssemblyPolls,4514,108
10/28/2019 10:06,"b'RT @sairashahhalim: We need to celebrate democracy,as now we have @BJP4India\nIn every state hook or crook,criminals et all.\n\n#HaryanaAssemb\xe2\x80\xa6'",11,None,17,1410
10/28/2019 10:00,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,729,1235
10/28/2019 9:35,"b'RT @ANI: Union Minister Ravi Shankar Prasad: We will go to meet the Governor, and request him to invite us to form the government. #Haryana\xe2\x80\xa6'",55,None,1709,443
10/28/2019 9:25,b'RT @abhimanyuraohry: A massive 22% voters switched their vote back to real issues.\n\nVote share for #BJP in #Haryana \n\n2019 Lok Sabha: 58%\xe2\x80\xa6',13,BJP,2,3
10/28/2019 9:24,"b'RT @iamsunnydeol: I did ,did you ?\n#VoteKarMaharashtra #HaryanaAssemblyPolls #VoteMumbai #VoteKar https://t.co/MYr9lJEoVZ'",340,VoteKarMaharashtra,93,209
10/28/2019 9:24,b'#NewsUpdate #ManoharLalKhattar took oath as #Haryana chief minister for the second time on Sunday and will lead the\xe2\x80\xa6 https://t.co/QmNTdcXQYR',0,NewsUpdate,45731,52
10/28/2019 9:24,b'RT @abhimanyuraohry: A massive 22% voters switched their vote back to real issues.\n\nVote share for #BJP in #Haryana \n\n2019 Lok Sabha: 58%\xe2\x80\xa6',13,BJP,12,10
10/28/2019 9:23,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,9,20
