created,text,retwc,hashtag,followers,friends
11/6/2019 9:36,b'RT @epwing_official: PM Imran Khan will  attend and speak at high-level side events co-hosted by Pakistan and Turkey on countering hate spe\xe2\x80\xa6',14,None,63,30
11/6/2019 9:36,b'RT @epwing_official: Meeting of PM Imran Khan with Secretary General of Amnesty International.#UNGA\n #PMIKatUNGA #PMIKinUS \n@Dr_FirdousPTI\xe2\x80\xa6',12,UNGA,63,30
11/6/2019 9:36,b'RT @epwing_official: Mobile Truck displaying Indian atrocities in Indian Occupied Kashmir (IOK) through documentaries/video clips/photograp\xe2\x80\xa6',28,None,63,30
11/6/2019 9:35,b'RT @RadioPakistan: Prime Minister @ImranKhanPTI attends Council on Foreign Relations audience in New York.\nhttps://t.co/9vAvQJ7bUp  #ManOfP\xe2\x80\xa6',136,None,63,30
11/6/2019 9:35,"b""RT @epwing_official: Pakistan's Foreign Minister meets his Iranian Counterpart; both sides agreed to continue consultations on changing sit\xe2\x80\xa6""",7,None,63,30
11/6/2019 9:35,b'RT @epwing_official: PM Imran Khan says the US being a large country of the world should play its role in ending the humanitarian crisis in\xe2\x80\xa6',8,None,63,30
11/6/2019 9:35,b'RT @epwing_official: US President Trump has appreciated the political wisdom and acumen of PM Imran Khan saying he trusts #Pakistan and  Im\xe2\x80\xa6',9,Pakistan,63,30
11/6/2019 9:35,b'RT @epwing_official: Prime Minister Imran Khan meets US President Donald J. Trump on the sidelines of UNGA Session at New York.\n#UNGA https\xe2\x80\xa6',15,UNGA,63,30
11/6/2019 9:35,b'RT @epwing_official: Pakistan has made great progress in Counter Terrorism and Imran Khan is a great leader says US President Trump #UNGA #\xe2\x80\xa6',12,UNGA,63,30
11/6/2019 9:35,b'RT @epwing_official: PM Imran Khan held crucial talks over Kashmir issue with Chinese Foreign Minister in New York #UNGA https://t.co/z9ymk\xe2\x80\xa6',11,UNGA,63,30
11/6/2019 9:35,b'RT @epwing_official: US President Donald Trump has once again offered to mediate on the issue of Kashmir with the consent of both Pakistan\xe2\x80\xa6',12,None,63,30
11/6/2019 9:34,b'RT @epwing_official: Pak foreign minister meets Iranian counterpart\n#UNGA  @Dr_FirdousPTI @ZahidaParveen1 \nhttps://t.co/FvYEhI9MhT',9,UNGA,63,30
11/6/2019 9:34,b'RT @epwing_official: The Kashmir Question: Pakistan\xe2\x80\x99s View #PMIKinUSA #UNGA74 #UNGA #ImranTrumpMeet\n@Dr_FirdousPTI @ZahidaParveen1 https://\xe2\x80\xa6',8,PMIKinUSA,63,30
11/6/2019 9:34,b'RT @epwing_official: A delegation of Parliamentarians from Balochistan briefed the media about general situation in Pakistan with a particu\xe2\x80\xa6',10,None,63,30
11/6/2019 9:34,b'RT @epwing_official: Prime Minister Imran Khan met Italian Prime Minister Giuseppe Conte on eve of UNGA session #UNGA @Dr_FirdousPTI @Zahid\xe2\x80\xa6',8,UNGA,63,30
11/6/2019 9:34,b'RT @epwing_official: Prime Minister met President Worldbank Mr David Malpass #UNGA @Dr_FirdousPTI  @ZahidaParveen1 https://t.co/QrRO7SRR5B',8,UNGA,63,30
11/6/2019 9:34,b'RT @epwing_official: Prime Minister Imran Khan calls on President of Turkey H.E. Recep Tayyip Erdo\xc4\x9fan on the sidelines of 74th UNGA Session\xe2\x80\xa6',11,None,63,30
11/6/2019 9:34,b'RT @epwing_official: Prime Minister Imran Khan had a meeting with President of Turkey Recep Tayyip Erdogan on the sidelines of 74th UNGA Se\xe2\x80\xa6',50,None,63,30
11/6/2019 9:34,b'RT @epwing_official: PM is leading the Pakistan delegation during the opening debate of the 74th UN General  Assembly session. #PrimeMinist\xe2\x80\xa6',12,None,63,30
11/6/2019 9:34,b'RT @epwing_official: Prime Minister Imran Khan met with Prime Minister of New Zealand Rt. Hon. Jacinda Ardern today at the sidelines of UNG\xe2\x80\xa6',12,None,63,30
11/6/2019 9:34,b'RT @RadioPakistan: #LiveNow: Prime Minister @ImranKhanPTI holds a press conference at @UN headquarter in #NewYork along with Foreign Minist\xe2\x80\xa6',105,LiveNow,63,30
11/6/2019 9:34,b'RT @epwing_official: Live Press Conference of Prime Minister Imran Khan at UN HQs New York #UNGA  #KashmirIssue \n@Dr_FirdousPTI @ZahidaParv\xe2\x80\xa6',7,UNGA,63,30
11/6/2019 9:33,b'RT @epwing_official: Talking to President of Ethiopia Sahle-Work Zewde on the sidelines of 74th session of the UNGA session in New York. #P\xe2\x80\xa6',8,None,63,30
11/6/2019 9:33,b'RT @epwing_official: Foreign Minister Shah Mahmood Qureshi held a meeting with Irish counterpart Simon Coveney on the sideline of the 74th\xe2\x80\xa6',9,None,63,30
11/6/2019 9:33,b'RT @epwing_official: PM Imran khan addressed at the event organized by Pakistan and Turkey at the UN. He calls for effective measures to co\xe2\x80\xa6',17,None,63,30
11/6/2019 9:33,"b'RT @epwing_official: While addressing the event on countering hate speech, organized by Pakistan and Turkey, President of the Turkey Recep\xe2\x80\xa6'",13,None,63,30
11/6/2019 9:33,b'RT @epwing_official: Prime Minister Imran Khan to the NYT editorial board : There is a danger of a bloodbath in occupied Jammu and Kashmir.\xe2\x80\xa6',9,None,63,30
11/6/2019 9:33,b'RT @OIC_OCI: The #OIC called on the international community to accelerate its efforts to provide critical assistance to the people of #Jamm\xe2\x80\xa6',447,OIC,63,30
11/6/2019 9:33,"b'RT @OIC_OCI: The OIC Secretary General, Dr. Yusuf Al Othaimeen stressed that the issue of #Jammu and #Kashmir is one of the most important\xe2\x80\xa6'",280,Jammu,63,30
11/6/2019 9:32,b'RT @epwing_official: Prime Minister Imran Khan met Prime Minister Erna Solberg of Norway on the sidelines of 74th Session of the UN General\xe2\x80\xa6',9,None,63,30
11/6/2019 9:32,b'RT @epwing_official: PM Imran Khan  met Russian Foreign Minister Sergey Lavrov at the #UNGA UN. Prime Minister Imran Khan told the Russian\xe2\x80\xa6',12,UNGA,63,30
11/6/2019 9:32,b'RT @epwing_official: Prime Minister Imran Khan met with Vice President of Indonesia H.E. Muhammad Jusuf Kalla on the sidelines of 74th sess\xe2\x80\xa6',11,None,63,30
11/6/2019 9:32,"b'RT @epwing_official: Addressing High-Level Dialogue on Financing for Development on the sidelines of 74th Session of the #UNGA in New York,\xe2\x80\xa6'",8,UNGA,63,30
11/6/2019 9:32,"b'RT @epwing_official: In his interview to MSNBC,\nPakistani Prime Minster Imran Khan discusses his upcoming speech at the UN General Assembly\xe2\x80\xa6'",6,None,63,30
11/6/2019 9:32,b'RT @epwing_official: PM Khan says West should do more to treat the plundered money from developing countries in the same way as it treats d\xe2\x80\xa6',11,None,63,30
11/6/2019 9:32,"b'RT @epwing_official: Prime Minister Imran Khan met with Josette Sheeran, President of Asia Society @Dr_FirdousPTI @ZahidaParveen1 #UNGA #As\xe2\x80\xa6'",9,UNGA,63,30
11/6/2019 9:32,b'RT @epwing_official: At the side event co-chaired by Prime Minister Imran Khan and PM Mahathir Mohammed at the UN on \xe2\x80\x98Environmental\nSteward\xe2\x80\xa6',13,None,63,30
11/6/2019 9:31,"b'RT @epwing_official: Prime Minister Imran Khan met with the Commission Chair of African Union, Moussa Faki, on the sidelines of UNGA (26.09\xe2\x80\xa6'",11,None,63,30
11/6/2019 9:31,b'RT @epwing_official: Special Assistant to Prime Minister on Information and Broadcasting Dr. Firdous Ashiq Awan says that Prime Minister Im\xe2\x80\xa6',7,None,63,30
11/6/2019 9:31,b'RT @epwing_official: Prime Minister Imran Khan will address the UN General Assembly today as the Ambassador of the people of  Indian Occupi\xe2\x80\xa6',13,None,63,30
11/6/2019 9:31,b'RT @RadioPakistan: PM @ImranKhanPTI addressing @UN General Assembly in #NewYork. #ImranKhanVoiceOfKashmir #PMIKInUSA #KashmirNeedsAttention\xe2\x80\xa6',141,NewYork,63,30
11/6/2019 9:31,b'RT @epwing_official: PM Speech at #UNGA. PM highlights global climate change issues.  #PMIKatUNGA',9,UNGA,63,30
11/6/2019 9:31,b'RT @epwing_official: Terrorism has no religion says PM Imran Khan at #UNGA #PMIKatUNGA',10,UNGA,63,30
11/6/2019 9:31,b'RT @epwing_official: PM Imran Khan speaks to the #UNGA audience - speaks about the effect of #ClimateChange on his country and urges UN and\xe2\x80\xa6',8,UNGA,63,30
11/6/2019 9:31,b'RT @epwing_official: I stand here at this forum of world leaders where we have a chance to discuss the problems the world is facing says Pr\xe2\x80\xa6',8,None,63,30
11/6/2019 9:31,"b'RT @epwing_official: PM Imran Khan says as soon as my party came to power, we invited PM Modi for dialogue to resolve all issues. India bac\xe2\x80\xa6'",8,None,63,30
11/6/2019 9:31,b'@alexthetarr @NickAuger88 @JamesGemmellTV Plus there were 9 Crusaders in NZ\xe2\x80\x99s starting lineup for the SF. (Moody Ta\xe2\x80\xa6 https://t.co/lMZ4FCA4l4',0,None,3,25
11/6/2019 9:31,"b'RT @epwing_official: Narendra Modi is a lifelong member of RSS, an organisation inspired by Adolf Hitler which believes in racial purity an\xe2\x80\xa6'",11,None,63,30
11/6/2019 9:31,b'RT @epwing_official: India must end Curfew says PM Imran Khan at #UNGA UNGA',7,UNGA,63,30
11/6/2019 9:30,b'RT @epwing_official: PM Imran Khan met UN Secretary General Antonio Guterres at UN Headquarter in New York\n #ImranKhanVoiceOfKashmir #Imran\xe2\x80\xa6',13,ImranKhanVoiceOfKashmir,63,30
11/6/2019 9:30,"b'RT @epwing_official: ""The Kashmir issue should be properly addressed in accordance with the UNSC resolutions &amp; bilateral agreement. No unil\xe2\x80\xa6'",14,None,63,30
11/6/2019 9:28,b'RT @RobertAlai: @DCI_Kenya Test and measure. Maybe you are destroying unga ngano.',5,None,1288,1285
11/6/2019 9:25,b'@aftabhanif @SubodhBalok2 @who2_guess @allindiamemers @AmolVidwans @iamIftikharali @unconquerable_R\xe2\x80\xa6 https://t.co/oEmwr20lFo',0,None,17,75
11/6/2019 9:22,"b'RT @UNICEF: ""I want to hear your voice... No matter who you are, where you\xe2\x80\x99re from, your skin colour, gender identity: speak yourself.\xe2\x80\x9d\n\nWe\xe2\x80\xa6'",481611,None,1842,149
11/6/2019 9:16,b'@PTIofficial Jhute.\nHow about our POWs from 1971?\n\nAnd - \nhttps://t.co/PRnGdCYPw5',0,None,13,200
11/6/2019 9:15,b'Its events season and we know the waste level will be high! Here are some tips to manage and make your events as gr\xe2\x80\xa6 https://t.co/ZqKmsr5XsY',0,None,800,517
